"start_date","end_date","monday","tuesday","wednesday","thursday","friday","saturday","sunday","service_id"
"20220722","20220805","1","1","1","1","1","0","0","203-206-207-208-209-210-213-214-215-216-217"
"20220722","20220805","1","1","1","1","1","1","0","203-204-206-207-208-209-210-211-213-214-215-216-217"
"20220722","20220805","1","1","1","1","1","1","1","203-204-205-206-207-208-209-210-211-212-213-214-215-216-217"
"20220722","20220805","1","1","1","1","1","0","1","203-205-206-207-208-209-210-212-213-214-215-216-217"
"20220723","20220731","0","0","0","0","0","1","1","204-205-211-212"
"20220723","20220730","0","0","0","0","0","1","0","204-211"
"20220724","20220731","0","0","0","0","0","0","1","205-212"
"20220722","20220805","0","0","0","0","1","1","0","203-204-210-211-217"
"20220724","20220804","1","1","1","1","0","0","1","205-206-207-208-209-212-213-214-215-216"
"20220722","20220731","1","1","1","1","1","1","1","203-204-205-206-207-208-209-210-211-212"
"20220722","20220805","0","0","0","0","1","1","1","203-204-205-210-211-212-217"
"20220725","20220804","1","1","1","1","0","0","0","206-207-208-209-213-214-215-216"
"20220801","20220805","1","1","1","1","1","0","0","213-214-215-216-217"
"20220722","20220805","0","0","0","0","1","0","0","203-210-217"
"20220722","20220727","1","1","1","0","1","0","0","203-206-207-208"
"20220728","20220805","1","1","1","1","1","0","0","209-210-213-214-215-216-217"
"20220722","20220805","1","1","1","1","1","1","1","203-204-206-207-208-209-210-211-212-213-214-215-216-217"
"20220722","20220805","1","1","1","1","1","0","1","203-205-206-207-208-209-210-213-214-215-216-217"
"20220722","20220722","0","0","0","0","1","0","0","203"
"20220723","20220731","0","0","0","0","0","1","1","204-211-212"
"20220724","20220724","0","0","0","0","0","0","1","205"
"20220731","20220731","0","0","0","0","0","0","1","212"
"20220722","20220805","1","1","1","1","1","0","0","203-213-214-215-216-217"
"20220725","20220729","1","1","1","1","1","0","0","206-207-208-209-210"
"20220723","20220730","1","1","1","1","1","1","0","204-206-207-208-209-210-211"
"20220722","20220731","1","1","1","0","1","0","1","203-205-206-207-208-212"
"20220722","20220726","1","1","0","0","1","0","0","203-206-207"
"20220723","20220805","1","1","1","1","1","1","1","204-205-206-207-208-209-210-211-212-213-214-215-216-217"
"20220727","20220727","0","0","1","0","0","0","0","208"
"20220723","20220805","1","1","1","1","1","1","1","204-205-209-210-211-212-213-214-215-216-217"
"20220723","20220805","1","1","1","1","1","1","0","204-209-210-211-213-214-215-216-217"
"20220722","20220805","1","1","1","1","1","1","0","203-206-207-208-209-210-211-213-214-215-216-217"
"20220723","20220723","0","0","0","0","0","1","0","204"
"20220722","20220805","1","1","1","1","1","1","0","203-204-206-207-209-210-211-213-214-215-216-217"
"20220722","20220805","1","1","1","1","1","0","0","203-209-210-213-214-215-216-217"
"20220725","20220727","1","1","1","0","0","0","0","206-207-208"
"20220728","20220804","1","1","1","1","0","0","0","209-213-214-215-216"
"20220729","20220805","0","0","0","0","1","0","0","210-217"
"20220722","20220730","1","1","1","1","1","1","0","203-204-206-207-208-209-210-211"
"20220722","20220729","1","1","1","1","1","0","0","203-206-207-208-209-210"
"20220722","20220731","1","1","1","1","1","1","1","203-204-206-207-208-209-210-211-212"
"20220722","20220805","1","1","1","1","1","0","0","203-206-207-209-210-213-214-215-216-217"
"20220722","20220805","1","1","1","1","1","0","0","203-208-209-210-213-214-215-216-217"
"20220722","20220730","1","1","1","0","1","1","0","203-204-206-207-208-211"
"20220725","20220805","1","1","1","1","1","0","0","206-207-208-209-210-213-214-215-216-217"
"20220725","20220726","1","1","0","0","0","0","0","206-207"
"20220722","20220725","1","0","0","0","1","0","0","203-206"
"20220722","20220724","0","0","0","0","1","1","1","203-204-205"
"20220722","20220805","1","1","1","1","1","1","1","203-204-205-206-207-208-209-210-213-214-215-216-217"
"20220722","20220727","1","1","1","0","1","1","1","203-204-205-206-207-208"
"20220725","20220805","1","1","1","1","1","1","1","206-207-208-209-210-211-212-213-214-215-216-217"
"20220726","20220805","1","1","1","1","1","0","0","207-208-209-210-213-214-215-216-217"
"20220723","20220724","0","0","0","0","0","1","1","204-205"
"20220730","20220731","0","0","0","0","0","1","1","211-212"
"20220730","20220730","0","0","0","0","0","1","0","211"
"20220724","20220805","1","1","1","1","1","0","1","205-209-210-212-213-214-215-216-217"
"20220722","20220805","1","1","1","1","1","1","0","203-204-206-207-208-209-210-213-214-215-216-217"
"20220722","20220723","0","0","0","0","1","1","0","203-204"
"20220725","20220805","1","1","1","1","1","1","0","206-207-208-209-210-211-213-214-215-216-217"
"20220722","20220730","0","0","0","0","1","1","0","203-204-211"
"20220722","20220731","0","0","0","0","1","0","1","203-205-212"
"20220723","20220805","1","1","1","1","1","1","0","204-206-207-208-209-210-211-213-214-215-216-217"
"20220724","20220805","1","1","1","1","1","0","1","205-206-207-208-209-210-212-213-214-215-216-217"
"20220723","20220805","1","1","1","1","1","1","1","204-206-207-208-209-210-211-212-213-214-215-216-217"
"20220723","20220804","1","1","1","1","0","1","1","204-205-206-207-208-209-211-212-213-214-215-216"
"20220722","20220731","0","0","0","0","1","1","1","203-204-205-211-212"
"20220729","20220805","0","0","0","0","1","1","0","210-211-217"
"20220728","20220805","0","0","0","1","1","1","0","209-210-211-216-217"
"20220728","20220805","0","1","1","1","1","1","0","209-210-211-214-215-216-217"
"20220802","20220803","0","1","1","0","0","0","0","214-215"
"20220723","20220731","1","1","1","1","1","1","1","204-205-206-207-208-209-210-211-212"
